name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.57012362960397, 11.26645843068356",2001-03-15,17,7.2,12.6,17,7,12.5,7.8,74.02,0,,0,,,,,15.9,192.3,1016.3,43.6,10.3,,,,,2001-03-15T06:27:14,2001-03-15T18:21:09,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-16,17.9,7.9,12.8,17.9,6.3,12.6,8.3,75.95,0,,0,,,,,14.8,142.9,1017.9,58.6,9.7,,,,,2001-03-16T06:25:27,2001-03-16T18:22:22,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-17,13.1,11.1,12.1,13.1,11.1,12.2,10.3,88.46,11.19,,12.5,,,,,22.3,167.7,1009.1,83,7.9,,,,,2001-03-17T06:23:39,2001-03-17T18:23:35,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-18,16.9,11.7,13.9,16.9,11.7,14,8.9,73.08,1.78,,4.17,,,,,25.7,248.4,1009.2,62.4,10.8,,,,,2001-03-18T06:21:52,2001-03-18T18:24:48,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-19,16.1,8.9,12.7,16.1,8.4,12.6,8.7,77.49,0,,0,,,,,25.9,190,1012.4,56.6,10.9,,,,,2001-03-19T06:20:04,2001-03-19T18:26:01,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-20,17.9,12.1,15,17.9,12.1,15,9.4,69.76,0.07,,4.17,,,,,16.6,225.1,1014.8,83.9,11,,,,,2001-03-20T06:18:16,2001-03-20T18:27:14,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-21,18.9,13.4,16,18.9,13.4,16,12.4,79.69,0,,0,,,,,17.3,213.1,1011.5,89.8,8.8,,,,,2001-03-21T06:16:28,2001-03-21T18:28:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-22,18.8,14,16.2,18.8,14,16.2,13,81.79,0,,0,,,,,18.2,238.9,1005.9,72.7,8.6,,,,,2001-03-22T06:14:40,2001-03-22T18:29:38,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-23,21.8,11.6,16.4,21.8,11.6,16.4,12.2,77.74,0,,0,,,,,13.9,178.4,1011.9,57.9,8.9,,,,,2001-03-23T06:12:52,2001-03-23T18:30:50,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999"
"43.57012362960397, 11.26645843068356",2001-03-24,23.8,8.6,16.7,23.8,8.6,16.7,11.6,74.17,0,,0,,,,,13,197.2,1010.3,5.5,10.1,,,,,2001-03-24T06:11:04,2001-03-24T18:32:02,1,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999,16172099999"
